PFMF.050.1,147.92,30.96,180.00,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812
Q1,134.36,38.36,0.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q2,73.83,19.61,270.00,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,64.59,5.39,90.00,"SI1308EDL-T1-GE3""""",SOT65P210X110-3N
R1,20.09,22.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH,153.66,-3.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1-PINH1,90.23,49.50,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R10,9.26,90.24,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_BAT,124.16,40.66,0.00,200,ESP32_WROVER_EAGLE-LTSPICE_R0402
R1_PWRUSB,119.45,32.08,270.00,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2,66.28,-0.25,90.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH,154.78,-3.22,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-PINH1,85.87,36.00,180.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,143.29,38.34,270.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,151.83,36.18,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,127.46,37.68,90.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,65.42,1.94,0.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,67.61,3.62,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,25.83,21.82,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,30.22,7.15,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,32.62,7.23,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,34.92,7.11,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,56.88,15.71,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.99,96.45,180.00,"BUTTON_CUSYOMV1""",MYBUTTON
RX,15.88,56.40,0.00,TPTP20R,TP20R
R_BOOT,60.64,96.28,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,86.72,50.25,0.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,45.61,96.35,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,69.36,19.67,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,20.79,96.40,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,1.70,11.10,0.00,TPTP20R,TP20R
